commentId,commentText,publishedAt
UgwYETfqTX1nIfwv2MV4AaABAg,Jai Shree Ram,2024-03-01T05:52:22Z
UgzhCo1iQDsnsg2asfF4AaABAg,"Really our PM is a great person who does something new every time and gives a new message to the world.
​",2024-03-01T04:40:59Z
UgwW1-wiJ6NrNGTR-Ld4AaABAg,Amazing! Peace love meditate,2024-03-01T04:37:14Z
UgyoivYF-837CAsrxVN4AaABAg,Respect only for PM but this is just similiar to any social media influencer😂😂,2024-03-01T04:26:13Z
UgyDjKx8EZGBN6yPEQ94AaABAg,"Jai hindh, jai sree ram, jai krishna, but bjp is simply playing with and using hindhus, if u analyse u will get to know that 
\",2024-03-01T03:59:56Z
UgzmdBn54bECr7e-Uzd4AaABAg,"Dwarka temples and other remains are under the water. Thank God, or else Aurangzeb would have constructed mosque over it after demolishing the entire structure s.",2024-03-01T03:41:37Z
UgyiPJ7qvl5f4NSltix4AaABAg,We want educated pm,2024-03-01T01:20:11Z
UgxVjzMszgh8J1DSjZx4AaABAg,Come and dive in Manipur Mr Modi,2024-03-01T01:04:27Z
UgwwfMW_0w1EgNI7zRt4AaABAg,Great pm,2024-02-29T18:47:41Z
UgyniiblccMr-QBP1JJ4AaABAg,"Any practicing Hindu would know a defective statue should not be prayed upon...
Is this right?",2024-02-29T17:25:46Z
Ugw1MerOL1psK0S2yDl4AaABAg,Kindly take Dharavi slum people to explore this at minimum cost with subsidy.,2024-02-29T16:48:59Z
Ugym9RpEH8-BpWXkKrh4AaABAg,Ye comment box andhbhakt se bhara para hai... Ye pagal log reality nhi jante 😂😂😂,2024-02-29T15:53:58Z
UgyB-HknkowfcaAWV1J4AaABAg,only writing positive about modi is not enough in coming election every hindu should vote compulsory to modi and encourage others to vote for modi to save our dharma,2024-02-29T15:20:01Z
UgwV91sflSaRB76So694AaABAg,😢 what about muslim community they are feeling alienated indian constitution don't promote any religion pm should must follow it,2024-02-29T15:13:57Z
Ugw98DVajZWgQ2wUOKR4AaABAg,Sir you make me speechless you are both patriotic and connected to our culture❤❤,2024-02-29T14:49:43Z
Ugyiav0Sf1L2ICHcoB54AaABAg,"This is the way a king should.....huge respects 
Praying for your good health and spirituality 🙌",2024-02-29T14:29:47Z
UgybPPD1dLQbxCxUADR4AaABAg,Those idiots don't know IWT 1960 brokered by WB clause by clause?,2024-03-01T05:14:42Z
Ugz1amnPLl4xQbNV2IV4AaABAg,Today's India is...... India will explain you in whatever language you understood 😮😮,2024-03-01T05:07:20Z
Ugx6QIjW6nYanamk5Zp4AaABAg,Why an AI was used to tell the rest of the news,2024-03-01T04:57:35Z
Ugz_YOeitjUH3J_sGot4AaABAg,"India playing hero!
What's new?",2024-03-01T03:02:46Z
UgxCj4Ro_nWvUPtC6z54AaABAg,"Now our Time
We Want Conflict 😂",2024-03-01T02:17:55Z
UgxSKV5CDNViVo9tPzR4AaABAg,India has been doing whatever it wants with the rivers. They are building dams violating international law. They reserve water when it is needed and floods the next country when they don't need the water. Just look at the Padma and tista river situation of Bangladesh.,2024-03-01T01:18:13Z
UgxJULVd5O6c9ds2ZXZ4AaABAg,Water terrorism 😂,2024-03-01T00:00:39Z
UgxGp8FZfjv7g1HxAJd4AaABAg,Ha ha this is fun...that water was never yours...this is exactly how the islamic terrorists cry and become victims from aggressor's,2024-02-29T20:28:20Z
UgzVgrJfSeezdr_V9sR4AaABAg,"this water  belongs to india .

we're only taking what belongs to us.

chill pakistan",2024-02-29T20:12:53Z
UgwOn8td2VftRm0BVjJ4AaABAg,"If we start playing on river waters, already depressed people of Pakistan will one day fight an all out war. This will criple India as well if even Pakistan gets destroyed. India will be doomed. Secondly this is giving china the chance. People saying Modi is visionary, would in future claim of his short sightedness. You can hate us Pakistanis but wiping us out is an illogical dream that you would also have to pay but wait for the day",2024-02-29T19:24:43Z
UgzDUUoIQxf7SISLwGB4AaABAg,TAKE EVERYTHING U WANT  WATER SUN AND SEA. MAKE ANY PLAN U WANT. BUT U WILL NEVER STOPP  EVERY HUMAN BEING IN  WORLD          TO HAVE WATER TO DRINK. AND SUN TO ENJOY.,2024-02-29T19:12:20Z
UgwzqX2TJuTSYZf20i54AaABAg,"Arzoo could a very good candidate for a Bollywood movie. She has a good look, can speak good Hindi and act very well.",2024-02-29T19:07:21Z
UgydVXdK8zCTCw8IU_d4AaABAg,Indian government has been doing nonsense by not using the water in Ravi.,2024-02-29T17:59:16Z
Ugxqj239jJx1Sc90gX14AaABAg,"In India why Hindus are moving in car we are terrorist?
Pakistanis are not obeing UN treaty agreement they r questioning UN agency and 80.5 percent of indus treaty given to pak & 19.5 percent given to India & out of 19.5 India were only utiliseing 10 percent now we will use 19.5 complete so we become terrorist so what is pak then which was using 80.5 from last 60 years ?",2024-02-29T17:37:29Z
UgyA58pHXQrSGKa7MZl4AaABAg,Let us get Indus and Chenab river water equal to the Indian river Ravi for 75 yrs!!!,2024-02-29T17:24:06Z
UgzNEpPEScdwZnJGVt14AaABAg,Pakistan is doing politics because of POK issue and nothing to do with water!!!India MUST send an invoice for the Ravi water used by Pakistan since 1947. Also the % of water distribution should be 80% for India and 20% for Pakistan.,2024-02-29T17:22:36Z
UgzdA7xtRipoF7KM1qZ4AaABAg,1000 cuts terriszm and now crying for water 😂😂😂😂,2024-02-29T17:22:24Z
UgwWxb1Hd5-g3s1niod4AaABAg,The real terrorists are crying about water. Lmao,2024-02-29T16:54:06Z
UgztfAFn1zwaOioAdxp4AaABAg,Ravi was already a dead river in Pakistan.,2024-02-29T16:49:13Z
UgwB6Fko3AmrOtRsXzZ4AaABAg,Kashmir disputes is always about water believe me,2024-02-29T16:36:42Z
